split,threshold_m,method,evaluation_mode,unsafe_recall,missed_unsafe_rate,false_alarm_rate,unsafe_precision,f1_unsafe,balanced_accuracy,trust_availability,n_epochs,n_actual_unsafe
loso_JFNG,2,fixed_rule_gate,full_timeline,0.17207128250073037,0.8279287174992697,0.09071459135643987,0.735330836454432,0.27888257575757575,0.5406783455721452,0.8609375,5760,3423
loso_JFNG,2,fixed_rule_gate,solved_only,0.12692544670363523,0.8730745532963647,0.09071459135643987,0.6602564102564102,0.21291989664082683,0.5181054276735977,0.8882321332616873,5583,3246
loso_JFNG,2,tuned_rule_gate,full_timeline,1.0,0.0,0.9495079161317929,0.6066997518610422,0.7552123552123552,0.5252460419341036,0.02048611111111111,5760,3423
loso_JFNG,2,tuned_rule_gate,solved_only,1.0,0.0,0.9495079161317929,0.5939615736505032,0.7452646079669383,0.5252460419341036,0.021135590184488625,5583,3246
loso_JFNG,5,fixed_rule_gate,full_timeline,0.3905996758508914,0.6094003241491086,0.10888586428154773,0.30087390761548066,0.3399153737658674,0.6408569057846718,0.8609375,5760,617
loso_JFNG,5,fixed_rule_gate,solved_only,0.14545454545454545,0.8545454545454545,0.10888586428154773,0.10256410256410256,0.12030075187969924,0.5182843405864989,0.8882321332616873,5583,440
loso_JFNG,5,tuned_rule_gate,full_timeline,1.0,0.0,0.797977833949057,0.1306926498623173,0.2311727238666167,0.6010110830254716,0.18038194444444444,5760,617
loso_JFNG,5,tuned_rule_gate,solved_only,1.0,0.0,0.797977833949057,0.09683098591549295,0.17656500802568217,0.6010110830254716,0.1861006627261329,5583,440
loso_JFNG,10,fixed_rule_gate,full_timeline,1.0,0.0,0.11176786673831274,0.2209737827715356,0.36196319018404904,0.9441160666308437,0.8609375,5760,177
loso_JFNG,10,fixed_rule_gate,solved_only,,,0.11176786673831274,0.0,,,0.8882321332616873,5583,0
loso_JFNG,10,tuned_rule_gate,full_timeline,1.0,0.0,0.6227834497581946,0.048440065681444995,0.09240407204385279,0.6886082751209027,0.365625,5760,177
loso_JFNG,10,tuned_rule_gate,solved_only,,,0.6227834497581946,0.0,,,0.3772165502418055,5583,0
loso_URUM,2,fixed_rule_gate,full_timeline,0.1649577804583836,0.8350422195416164,0.14525368248772505,0.606430155210643,0.2593646277856804,0.5098520489853293,0.8434027777777777,5760,3316
